Date,bitcoin_price
2015-04-06,255.49200439453125
2015-04-13,224.58700561523438
2015-04-20,224.62600708007812
2015-04-27,229.28599548339844
2015-05-04,239.01800537109375
2015-05-11,242.1580047607422
2015-05-18,233.1280059814453
2015-05-25,237.11000061035156
2015-06-01,222.92599487304688
2015-06-08,228.48899841308594
2015-06-15,236.822998046875
2015-06-22,246.99000549316406
2015-06-29,257.0639953613281
2015-07-06,269.0299987792969
2015-07-13,292.0539855957031
2015-07-20,278.9809875488281
2015-07-27,293.6239929199219
2015-08-03,281.22698974609375
2015-08-10,264.4700012207031
2015-08-17,257.97601318359375
2015-08-24,210.4949951171875
2015-08-31,230.05599975585938
2015-09-07,239.8470001220703
2015-09-14,230.6439971923828
2015-09-21,227.0850067138672
2015-09-28,239.14199829101562
2015-10-05,240.38299560546875
2015-10-12,245.30799865722656
2015-10-19,263.43701171875
2015-10-26,285.29998779296875
2015-11-02,361.1889953613281
2015-11-09,380.2569885253906
2015-11-16,330.7510070800781
2015-11-23,323.0459899902344
2015-11-30,377.3210144042969
2015-12-07,395.5360107421875
2015-12-14,444.1820068359375
2015-12-21,438.6390075683594
2015-12-28,422.27899169921875
2016-01-04,433.09100341796875
2016-01-11,448.4280090332031
2016-01-18,387.1679992675781
2016-01-25,391.72601318359375
2016-02-01,373.0559997558594
2016-02-08,373.4469909667969
2016-02-15,400.18499755859375
2016-02-22,437.74798583984375
2016-02-29,437.6969909667969
2016-03-07,414.3210144042969
2016-03-14,416.43798828125
2016-03-21,413.3070068359375
2016-03-28,424.2309875488281
2016-04-04,421.4440002441406
2016-04-11,422.4830017089844
2016-04-18,428.59100341796875
2016-04-25,461.4259948730469
2016-05-02,444.66900634765625
2016-05-09,460.4830017089844
2016-05-16,454.1629943847656
2016-05-23,444.1549987792969
2016-05-30,533.864013671875
2016-06-06,585.5369873046875
2016-06-13,704.3759765625
2016-06-20,737.2260131835938
2016-06-27,655.2750244140625
2016-07-04,683.6619873046875
2016-07-11,647.6589965820312
2016-07-18,673.1060180664062
2016-07-25,654.0969848632812
2016-08-01,606.27197265625
2016-08-08,591.0540161132812
2016-08-15,567.239990234375
2016-08-22,586.7529907226562
2016-08-29,574.1069946289062
2016-09-05,606.5900268554688
2016-09-12,608.2429809570312
2016-09-19,609.2269897460938
2016-09-26,608.0430297851562
2016-10-03,612.1329956054688
2016-10-10,618.9940185546875
2016-10-17,639.1929931640625
2016-10-24,653.760986328125
2016-10-31,700.9719848632812
2016-11-07,703.1309814453125
2016-11-14,705.02099609375
2016-11-21,739.2479858398438
2016-11-28,735.81298828125
2016-12-05,758.7000122070312
2016-12-12,780.0869750976562
2016-12-19,792.7139892578125
2016-12-26,907.6099853515625
2017-01-02,1021.75
2017-01-09,902.8280029296875
2017-01-16,831.5339965820312
2017-01-23,921.0120239257812
2017-01-30,920.3820190429688
2017-02-06,1038.1500244140625
2017-02-13,990.6420288085938
2017-02-20,1079.97998046875
2017-02-27,1179.969970703125
2017-03-06,1272.8299560546875
2017-03-13,1231.9200439453125
2017-03-20,1054.22998046875
2017-03-27,1045.77001953125
2017-04-03,1143.81005859375
2017-04-10,1187.1300048828125
2017-04-17,1193.9100341796875
2017-04-24,1250.1500244140625
2017-05-01,1421.5999755859375
2017-05-08,1723.3499755859375
2017-05-15,1738.4300537109375
2017-05-22,2173.39990234375
2017-05-29,2255.610107421875
2017-06-05,2686.81005859375
2017-06-12,2659.6298828125
2017-06-19,2589.60009765625
2017-06-26,2478.449951171875
2017-07-03,2564.06005859375
2017-07-10,2372.56005859375
2017-07-17,2228.409912109375
2017-07-24,2754.860107421875
2017-07-31,2875.340087890625
2017-08-07,3378.93994140625
2017-08-14,4325.1298828125
2017-08-21,4001.739990234375
2017-08-28,4382.66015625
2017-09-04,4236.31005859375
2017-09-11,4161.27001953125
2017-09-18,4065.199951171875
2017-09-25,3926.070068359375
2017-10-02,4409.31982421875
2017-10-09,4772.02001953125
2017-10-16,5725.58984375
2017-10-23,5930.31982421875
2017-10-30,6130.52978515625
2017-11-06,7022.759765625
2017-11-13,6559.490234375
2017-11-20,8200.6396484375
2017-11-27,9818.349609375
2017-12-04,11657.2001953125
2017-12-11,16936.80078125
2017-12-18,19114.19921875
2017-12-25,14026.599609375
2018-01-01,13657.2001953125
2018-01-08,15170.099609375
2018-01-15,13819.7998046875
2018-01-22,10931.400390625
2018-01-29,11296.400390625
2018-02-05,6955.27001953125
2018-02-12,8926.5703125
2018-02-19,11225.2998046875
2018-02-26,10366.7001953125
2018-03-05,11573.2998046875
2018-03-12,9205.1201171875
2018-03-19,8630.650390625
2018-03-26,8209.400390625
2018-04-02,7083.7998046875
2018-04-09,6770.72998046875
2018-04-16,8058.669921875
2018-04-23,8930.8798828125
2018-04-30,9240.5498046875
2018-05-07,9373.009765625
2018-05-14,8716.7900390625
2018-05-21,8418.990234375
2018-05-28,7135.990234375
2018-06-04,7514.47021484375
2018-06-11,6906.919921875
2018-06-18,6734.81982421875
2018-06-25,6249.18017578125
2018-07-02,6614.18017578125
2018-07-09,6741.75
2018-07-16,6741.75
2018-07-23,7711.10986328125
2018-07-30,8180.47998046875
2018-08-06,6951.7998046875
2018-08-13,6297.56982421875
2018-08-20,6308.52978515625
2018-08-27,6884.64013671875
2018-09-03,7260.06005859375
2018-09-10,6329.7001953125
2018-09-17,6281.2001953125
2018-09-24,6595.41015625
2018-10-01,6589.6201171875
2018-10-08,6652.22998046875
2018-10-15,6596.5400390625
2018-10-22,6487.16015625
2018-10-29,6332.6298828125
2018-11-05,6419.66015625
2018-11-12,6371.27001953125
2018-11-19,4871.490234375
2018-11-26,3779.1298828125
2018-12-03,3894.130859375
2018-12-10,3502.656005859375
2018-12-17,3545.86474609375
2018-12-24,4078.59912109375
2018-12-31,3742.700439453125
2019-01-07,4025.248291015625
2019-01-14,3706.05224609375
2019-01-21,3576.032470703125
2019-01-28,3470.450439453125
2019-02-04,3459.154052734375
2019-02-11,3648.4306640625
2019-02-18,3915.71435546875
2019-02-25,3882.6962890625
2019-03-04,3761.55712890625
2019-03-11,3905.227294921875
2019-03-18,4032.50732421875
2019-03-25,3963.070556640625
2019-04-01,4158.18310546875
2019-04-08,5289.77099609375
2019-04-15,5067.1083984375
2019-04-22,5399.365234375
2019-04-29,5247.3525390625
2019-05-06,5746.80712890625
2019-05-13,7814.9150390625
2019-05-20,7978.30908203125
2019-05-27,8805.7783203125
2019-06-03,8208.9951171875
2019-06-10,8000.32958984375
2019-06-17,9320.3525390625
2019-06-24,11011.1025390625
2019-07-01,10583.134765625
2019-07-08,12285.9580078125
2019-07-15,10895.08984375
2019-07-22,10343.1064453125
2019-07-29,9519.1455078125
2019-08-05,11805.6533203125
2019-08-12,11382.6162109375
2019-08-19,10916.0537109375
2019-08-26,10370.8203125
2019-09-02,10346.7607421875
2019-09-09,10334.974609375
2019-09-16,10276.7939453125
2019-09-23,9729.32421875
2019-09-30,8293.8681640625
2019-10-07,8245.623046875
2019-10-14,8374.6865234375
2019-10-21,8243.720703125
2019-10-28,9256.1484375
2019-11-04,9412.6123046875
2019-11-11,8757.7880859375
2019-11-18,8309.2861328125
2019-11-25,7146.1337890625
2019-12-02,7321.98828125
2019-12-09,7400.8994140625
2019-12-16,6932.48046875
2019-12-23,7355.62841796875
2019-12-30,7292.9951171875
2020-01-06,7769.21923828125
2020-01-13,8144.1943359375
2020-01-20,8657.642578125
2020-01-27,8909.8193359375
2020-02-03,9293.521484375
2020-02-10,9856.611328125
2020-02-17,9690.142578125
2020-02-24,9650.1748046875
2020-03-02,8869.669921875
2020-03-09,7923.64453125
2020-03-16,5014.47998046875
2020-03-23,6416.31494140625
2020-03-30,6429.841796875
2020-04-06,7271.78125
2020-04-13,6845.03759765625
2020-04-20,6881.95849609375
2020-04-27,7795.60107421875
2020-05-04,8912.654296875
2020-05-11,8601.7958984375
2020-05-18,9726.5751953125
2020-05-25,8906.9345703125
2020-06-01,10167.2685546875
2020-06-08,9771.4892578125
2020-06-15,9450.7021484375
2020-06-22,9648.7177734375
2020-06-29,9190.8544921875
2020-07-06,9375.474609375
2020-07-13,9243.6142578125
2020-07-20,9164.2314453125
2020-07-27,10990.873046875
2020-08-03,11246.3486328125
2020-08-10,11878.111328125
2020-08-17,12254.40234375
2020-08-24,11774.595703125
2020-08-31,11680.8203125
2020-09-07,10369.5634765625
2020-09-14,10680.837890625
2020-09-21,10462.259765625
2020-09-28,10709.65234375
2020-10-05,10793.33984375
2020-10-12,11555.36328125
2020-10-19,11742.037109375
2020-10-26,13075.248046875
2020-11-02,13550.4892578125
2020-11-09,15332.3154296875
2020-11-16,16716.111328125
2020-11-23,18364.12109375
2020-11-30,19625.8359375
2020-12-07,19191.630859375
2020-12-14,19246.64453125
2020-12-21,22803.08203125
2020-12-28,27084.80859375
2021-01-04,31971.9140625
2021-01-11,35566.65625
2021-01-18,36630.07421875
2021-01-25,32366.392578125
2021-02-01,33537.17578125
2021-02-08,46196.46484375
2021-02-15,47945.05859375
2021-02-22,54207.3203125
2021-03-01,49631.2421875
2021-03-08,52246.5234375
2021-03-15,55907.19921875
2021-03-22,54529.14453125
2021-03-29,57750.19921875
2021-04-05,59057.87890625
2021-04-12,59893.453125
2021-04-19,55724.265625
2021-04-26,54021.75390625
2021-05-03,57200.29296875
2021-05-10,55859.796875
2021-05-17,43537.51171875
2021-05-24,38705.98046875
2021-05-31,37332.85546875
2021-06-07,33560.70703125
2021-06-14,40218.4765625
2021-06-21,31676.693359375
2021-06-28,34434.3359375
2021-07-05,33746.00390625
